gln,wh_id,uc_delivery_id,ins_dt,last_upd_dt,last_upd_user_id
"8713783228838","2",1527,"20220729143000","20220729143000","939370"
"8713783228838","2",1734,"20230210164715","20230210164715","939370"
"8713783228876","2",1020,"20220729142958","20220729142958","939370"
"8713783228876","2",1069,"20220729142958","20220729142958","939370"
"8713783228876","2",1118,"20220729142958","20220729142958","939370"
"8713783228876","2",1167,"20220729142958","20220729142958","939370"
"8713783228876","2",1216,"20220729142958","20220729142958","939370"
"8713783228876","2",1265,"20220729142959","20220729142959","939370"
"8713783228876","2",1314,"20220729142959","20220729142959","939370"
"8713783228876","2",1363,"20220729142959","20220729142959","939370"
"8713783228876","2",1412,"20220729142959","20220729142959","939370"
"8713783228876","2",1461,"20220729142959","20220729142959","939370"
"8713783228876","2",1499,"20220729142959","20220729142959","939370"
"8713783228876","2",1701,"20230210164715","20230210164715","939370"
"8713783228913","2",1001,"20220729142957","20220729142957","939370"
"8713783228913","2",1050,"20220729142958","20220729142958","939370"
"8713783228913","2",1099,"20220729142958","20220729142958","939370"
"8713783228913","2",1148,"20220729142958","20220729142958","939370"
"8713783228913","2",1197,"20220729142958","20220729142958","939370"
"8713783228913","2",1246,"20220729142959","20220729142959","939370"
"8713783228913","2",1295,"20220729142959","20220729142959","939370"
"8713783228913","2",1344,"20220729142959","20220729142959","939370"
"8713783228913","2",1393,"20220729142959","20220729142959","939370"
"8713783228913","2",1442,"20220729142959","20220729142959","939370"
"8713783228913","2",1519,"20220729143000","20220729143000","939370"
"8713783228913","2",1725,"20230210164715","20230210164715","939370"
"8713783229019","2",1016,"20220729142958","20220729142958","939370"
"8713783229019","2",1065,"20220729142958","20220729142958","939370"
"8713783229019","2",1114,"20220729142958","20220729142958","939370"
"8713783229019","2",1163,"20220729142958","20220729142958","939370"
"8713783229019","2",1212,"20220729142958","20220729142958","939370"
"8713783229019","2",1261,"20220729142959","20220729142959","939370"
"8713783229019","2",1310,"20220729142959","20220729142959","939370"
"8713783229019","2",1359,"20220729142959","20220729142959","939370"
"8713783229019","2",1408,"20220729142959","20220729142959","939370"
"8713783229019","2",1457,"20220729142959","20220729142959","939370"
"8713783229019","2",1495,"20220729142959","20220729142959","939370"
"8713783229019","2",1679,"20230210164714","20230210164714","939370"
"8713783229101","2",1005,"20220729142958","20220729142958","939370"
"8713783229101","2",1054,"20220729142958","20220729142958","939370"
"8713783229101","2",1103,"20220729142958","20220729142958","939370"
"8713783229101","2",1152,"20220729142958","20220729142958","939370"
"8713783229101","2",1201,"20220729142958","20220729142958","939370"
"8713783229101","2",1250,"20220729142959","20220729142959","939370"
"8713783229101","2",1299,"20220729142959","20220729142959","939370"
"8713783229101","2",1348,"20220729142959","20220729142959","939370"
"8713783229101","2",1397,"20220729142959","20220729142959","939370"
"8713783229101","2",1446,"20220729142959","20220729142959","939370"
"8713783229101","2",1523,"20220729143000","20220729143000","939370"
"8713783229101","2",1729,"20230210164715","20230210164715","939370"
"8713783229163","2",1005,"20220729142958","20220729142958","939370"
"8713783229163","2",1054,"20220729142958","20220729142958","939370"
"8713783229163","2",1103,"20220729142958","20220729142958","939370"
"8713783229163","2",1152,"20220729142958","20220729142958","939370"
"8713783229163","2",1201,"20220729142958","20220729142958","939370"
"8713783229163","2",1250,"20220729142959","20220729142959","939370"
"8713783229163","2",1299,"20220729142959","20220729142959","939370"
"8713783229163","2",1348,"20220729142959","20220729142959","939370"
"8713783229163","2",1397,"20220729142959","20220729142959","939370"
"8713783229163","2",1446,"20220729142959","20220729142959","939370"
"8713783229163","2",1523,"20220729143000","20220729143000","939370"
"8713783229163","2",1729,"20230210164715","20230210164715","939370"
"8713783229194","2",1031,"20220729142958","20220729142958","939370"
"8713783229194","2",1080,"20220729142958","20220729142958","939370"
