rf_frm,cust_lvl,frm_cls,grp_nam,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"DIR_COUNT_ACK",0,"com.redprairie.wmd.formlogic.DirCountAck","dcs_data","","20210202173914","NOUSER","NOUSER"
"DIR_COUNT_AUDIT_ACK",0,"com.redprairie.wmd.formlogic.DirCountAuditAck","dcs_data","","20210202173914","NOUSER","NOUSER"
"DIR_LIST_PICK",0,"com.redprairie.wmd.formlogic.DirListPick","dcs_data","","20210202173914","NOUSER","NOUSER"
"DIR_LOAD_TRLR",0,"com.redprairie.wmd.formlogic.DirLoadTrlr","dcs_data","","20210202173914","NOUSER","NOUSER"
"DIR_PICKUP",0,"com.redprairie.wmd.formlogic.DirPickup","dcs_data","","20210202173914","NOUSER","NOUSER"
"DIR_RECEIVE",0,"com.redprairie.wmd.formlogic.DirReceive","dcs_data","","20210202173914","NOUSER","NOUSER"
"DIR_RFOUTAUD",0,"com.redprairie.wmd.formlogic.DirRfOutAud","dcs_data","","20210202173914","NOUSER","NOUSER"
"DIR_TRLR",0,"com.redprairie.wmd.formlogic.DirTrlr","dcs_data","","20210202173914","NOUSER","NOUSER"
"DIR_TRLR_UNLD",0,"com.redprairie.wmd.formlogic.DirTrlrUnld","dcs_data","","20210202173914","NOUSER","NOUSER"
"DIR_WORK_ASSIGNMENT_FILTERS",0,"com.redprairie.wmd.formlogic.DirWorkAssignmentFilters","dcs_data","","20210202173914","NOUSER","NOUSER"
"DISPLAY_RETURN_CODE",0,"com.redprairie.wmd.formlogic.DisplayReturnCode","dcs_data","","20210202173914","NOUSER","NOUSER"
"ERROR_DISPLAY",0,"com.redprairie.wmd.formlogic.ErrorDisplay","dcs_data","","20210202173914","NOUSER","NOUSER"
"ERROR_LOGOUT",0,"com.redprairie.wmd.formlogic.ErrorLogout","dcs_data","","20210202173914","NOUSER","NOUSER"
"EXISTING_LOAD",0,"com.redprairie.wmd.formlogic.ExistingLoad","dcs_data","","20210202173914","NOUSER","NOUSER"
"FLUID_LOAD",0,"com.redprairie.wmd.formlogic.FluidLoad","dcs_data","","20210202173914","NOUSER","NOUSER"
"FORM_VARIABLES",0,"com.redprairie.mtf.formlogic.FormVariables","mtf_data","","20210202171424","NOUSER","NOUSER"
"FTP_CAPTURE",0,"com.redprairie.wmd.formlogic.FtpCapture","dcs_data","","20210202173914","NOUSER","NOUSER"
"GET_DOCNUM",0,"com.redprairie.wmd.formlogic.GetDocnum","dcs_data","","20210202173914","NOUSER","NOUSER"
"GET_LOT_FORMAT",0,"com.redprairie.wmd.formlogic.GetLotFormat","dcs_data","","20210202173914","NOUSER","NOUSER"
"GET_SERIAL_NUMBER",0,"com.redprairie.wmd.formlogic.GetSerialNumber","dcs_data","","20210202173914","NOUSER","NOUSER"
"GET_SERV_INV",0,"com.redprairie.wmd.formlogic.GetServInv","dcs_data","","20210202173914","NOUSER","NOUSER"
"GET_SERVICES",0,"com.redprairie.wmd.formlogic.GetServices","dcs_data","","20210202173914","NOUSER","NOUSER"
"HOLD_DETAIL",0,"com.redprairie.wmd.formlogic.HldDtl","dcs_data","","20210202173914","NOUSER","NOUSER"
"IDENTIFY_DTL",0,"com.redprairie.wmd.formlogic.IdentifyDtl","dcs_data","","20210202173914","NOUSER","NOUSER"
"IDENTIFY_LOAD",0,"com.redprairie.wmd.formlogic.IdentifyLoad","dcs_data","","20210202173914","NOUSER","NOUSER"
"IDENTIFY_LOAD",10,"com.redprairie.les.formlogic.UsrIdentifyLoadExtended","usr_data","20230510163241","20230510163241","938673","938673"
"IDENTIFY_LOAD_PART",0,"com.redprairie.wmd.formlogic.IdentifyLoadPart","dcs_data","","20210202173914","NOUSER","NOUSER"
"IDENTIFY_NEXT_LOAD",0,"com.redprairie.wmd.formlogic.IdentifyNextLoad","dcs_data","","20210202173914","NOUSER","NOUSER"
"IDENTIFY_PART",0,"com.redprairie.wmd.formlogic.IdentifyPart","dcs_data","","20210202173914","NOUSER","NOUSER"
"IDENTIFY_SUB",0,"com.redprairie.wmd.formlogic.IdentifySub","dcs_data","","20210202173914","NOUSER","NOUSER"
"INIT_POLICIES",0,"com.redprairie.wmd.formlogic.InitPolicies","dcs_data","","20210202173914","NOUSER","NOUSER"
"INLINE_TRANSFER",0,"com.redprairie.wmd.formlogic.InlineTransfer","dcs_data","","20210202173914","NOUSER","NOUSER"
"INV_ADJ_PUT_TO_STORE",0,"com.redprairie.wmd.formlogic.InvAdjPutToStore","dcs_data","","20210202173914","NOUSER","NOUSER"
"INV_ADJUST",0,"com.redprairie.wmd.formlogic.InvAdjust","dcs_data","","20210202173914","NOUSER","NOUSER"
"INV_ADJUST_DSP",0,"com.redprairie.wmd.formlogic.InvAdjustDsp","dcs_data","","20210202173914","NOUSER","NOUSER"
