pcklst_rule_grp_id,pcklst_rule_id,seqnum,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
146,199,1,"20230720132232","20230720132232","938673","938673"
147,200,1,"20230720132236","20230720132236","938673","938673"
148,201,1,"20230720132236","20230720132236","938673","938673"
149,202,1,"20230720132236","20230720132236","938673","938673"
150,203,1,"20230720132236","20230720132236","938673","938673"
151,204,1,"20230720132236","20230720132236","938673","938673"
152,205,1,"20230720132236","20230720132236","938673","938673"
153,206,1,"20230720132236","20230720132236","938673","938673"
154,207,1,"20230720132236","20230720132236","938673","938673"
155,208,1,"20230720132236","20230720132236","938673","938673"
156,209,1,"20230720132236","20230720132236","938673","938673"
157,210,1,"20230720132236","20230720132236","938673","938673"
158,211,1,"20230720132236","20230720132236","938673","938673"
159,212,1,"20230720132236","20230720132236","938673","938673"
160,213,1,"20230720132236","20230720132236","938673","938673"
161,214,1,"20230720132236","20230720132236","938673","938673"
162,215,1,"20230720132236","20230720132236","938673","938673"
163,216,1,"20230720132236","20230720132236","938673","938673"
164,217,1,"20230720132236","20230720132236","938673","938673"
