pcklst_select_cri_id,pcklst_rule_id,seqnum,log_opr,table_nam,field_name,operator,value,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
313,22,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_H244_ZONE","20230609102410","20230609102410","938673","938673",0
314,35,1,"","pck_zone","pck_zone_cod","=","H135-P-02","20230609102436","20230609102436","938673","938673",0
315,35,2,"AND","","","","","20230609102436","20230609102436","938673","938673",0
316,35,3,"","pcklst","pcklst_rule_id","=","31","20230609102436","20230609102436","938673","938673",0
317,35,4,"AND","","","","","20230609102436","20230609102436","938673","938673",0
318,35,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_H135-02_ZONE","20230609102436","20230609102436","938673","938673",0
324,20,1,"","pck_zone","pck_zone_cod","=","H135-P-01","20230609112048","20230609112048","938673","938673",0
325,20,2,"AND","","","","","20230609112048","20230609112048","938673","938673",0
326,20,3,"","pcklst","pcklst_rule_id","=","14","20230609112048","20230609112048","938673","938673",0
327,20,4,"AND","","","","","20230609112048","20230609112048","938673","938673",0
328,20,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_H135-01_ZONE","20230609112048","20230609112048","938673","938673",0
329,19,1,"","pck_zone","pck_zone_cod","=","H135-P-01","20230609112139","20230609112139","938673","938673",0
330,19,2,"AND","","","","","20230609112139","20230609112139","938673","938673",0
331,19,3,"","pcklst","pcklst_rule_id","=","13","20230609112139","20230609112139","938673","938673",0
332,19,4,"AND","","","","","20230609112139","20230609112139","938673","938673",0
333,19,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_2S_H135-01_ZONE","20230609112139","20230609112139","938673","938673",0
334,34,1,"","pck_zone","pck_zone_cod","=","H135-P-02","20230609112209","20230609112209","938673","938673",0
335,34,2,"AND","","","","","20230609112209","20230609112209","938673","938673",0
336,34,3,"","pcklst","pcklst_rule_id","=","30","20230609112209","20230609112209","938673","938673",0
337,34,4,"AND","","","","","20230609112209","20230609112209","938673","938673",0
338,34,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_2S_H135-02_ZONE","20230609112209","20230609112209","938673","938673",0
