pcklst_grp_cri_id,pcklst_rule_id,seqnum,table_nam,field_name,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
132,33,4,"ord","rtcust","20230720143556","20230720143556","938673","938673"
133,34,1,"ord_line","uc_shipby","20230720143556","20230720143556","938673","938673"
134,34,2,"pckwrk_view","src_pck_zone_id","20230720143556","20230720143556","938673","938673"
135,34,3,"ord","rt_adr_id","20230720143556","20230720143556","938673","938673"
136,34,4,"ord","rtcust","20230720143556","20230720143556","938673","938673"
137,35,1,"ord_line","uc_shipby","20230720143556","20230720143556","938673","938673"
138,35,2,"pckwrk_view","src_pck_zone_id","20230720143556","20230720143556","938673","938673"
139,35,3,"ord","rt_adr_id","20230720143556","20230720143556","938673","938673"
140,35,4,"ord","rtcust","20230720143556","20230720143556","938673","938673"
141,36,1,"ord_line","uc_shipby","20230720143559","20230720143559","938673","938673"
142,36,2,"pckwrk_view","src_pck_zone_id","20230720143559","20230720143559","938673","938673"
143,36,3,"ord","rt_adr_id","20230720143559","20230720143559","938673","938673"
144,36,4,"ord","rtcust","20230720143559","20230720143559","938673","938673"
145,37,1,"ord_line","uc_shipby","20230720143559","20230720143559","938673","938673"
146,37,2,"pckwrk_view","src_pck_zone_id","20230720143559","20230720143559","938673","938673"
147,37,3,"ord","rt_adr_id","20230720143559","20230720143559","938673","938673"
148,37,4,"ord","rtcust","20230720143559","20230720143559","938673","938673"
149,38,1,"ord_line","uc_shipby","20230720143559","20230720143559","938673","938673"
150,38,2,"pckwrk_view","src_pck_zone_id","20230720143559","20230720143559","938673","938673"
151,38,3,"ord","rt_adr_id","20230720143559","20230720143559","938673","938673"
152,38,4,"ord","rtcust","20230720143559","20230720143559","938673","938673"
