cmd_config_id,cmd_config,cmd_grp,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"usr_prdc_usr-rfh010","produce usr usr_rfh010 lbl","doc_typ_data_command","20230414000000","20230414000000","938673","938673"
"wave_action_destination","plan shipment wave by destination selection","wave_actions","","","",""
"wave_action_order","plan shipment wave by order selection","wave_actions","","","",""
"wave_action_order_store","plan shipment wave by order store selection","wave_actions","","","",""
"wave_action_shipment","plan shipment wave by shipment selection","wave_actions","","","",""
"wave_cancel_ord","cancel shipment wave by order","wave_cancel","","","",""
"wave_cancel_pick","cancel pick batch","wave_cancel","","","",""
"wave_cancel_store","cancel shipment wave by order for store","wave_cancel","","","",""
"wave_sum_ord_line","list order lines available for wave planning","wave_summary","","","",""
"wave_sum_ord_line_store","list order lines for store available for wave planning","wave_summary","","","",""
"wave_sum_shp_line","list shipment lines available for wave planning","wave_summary","","","",""
"wave_sum_shp_line_dest","list destination shipment lines available for wave planning","wave_summary","","","",""
