actcod,actcod_typ,voc_cod,lms_flg,worktype_id,indflg,asgn_typ,disc_proc_id,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,rollup_uom
"PERFORM-TRLR-SAF-CHK","WORK",0,1,"TRLR-SAF-CHK",0,"O","PERFORM-TRLR-SAF-CHK","","","","",""
"PERFORM-VEH-SAF-CHK","WORK",0,1,"VEH-SAF-CHK",0,"O","PERFORM-VEH-SAF-CHK","","","","",""
"PKOCLOSE","WORK",0,1,"PKOCLOSE",0,"O","","","","","",""
"PKOERROR","WORK",0,1,"PKOERROR",0,"O","","","","","",""
"PKOINIT","WORK",0,0,"",0,"","","","","","",""
"PL_XFR","WORK",0,1,"PL_XFR",0,"O","","","","","",""
"PRINT-CTN-LABEL","WORK",0,1,"PRINT-CTN-LBL",0,"O","PRINT-CTN-LABEL","","","","",""
"PROC-HAZAR-PRT","WORK",0,1,"PROC-HAZAR-PRT",0,"O","PROC-HAZAR-PRT","","","","",""
"PRT_FTPDTL_CREATE","GEN",0,0,"",0,"","","","","","",""
"PRT_FTPDTL_REMOVE","GEN",0,0,"",0,"","","","","","",""
"PUT_DRCT","WORK",0,0,"",0,"","","","","","",""
"PUT_SORT","WORK",0,0,"",0,"","","","","","",""
"PUT_UNDR","WORK",0,0,"",0,"","","","","","",""
"PUTSTOADJ","WORK",0,1,"PUTSTOADJ",0,"P","","","","","",""
"PUTSTOCMP","WORK",0,1,"PUTSTOCMP",0,"P","","","","","",""
"PUTSTOMOV","WORK",0,1,"PUTSTOMOV",0,"P","","","","","",""
"QASAMPL","WORK",0,1,"QASAMPL",0,"O","QASAMPL","","","","",""
"RCNT","WORK",0,1,"SUMCNT",0,"P","","","","","",""
"RCV","WORK",0,1,"RCV",0,"P","","","","","",""
"RCV_PUT","WORK",0,1,"RCV_PUT",0,"P","","","","","",""
"RCV_STG","WORK",0,1,"RCV_STG",0,"P","","","","","",""
"RCVID","WORK",0,1,"RCVID",0,"P","","","","","",""
"RCVSTG","WORK",0,1,"RCVSTG",0,"P","","","","","",""
"RECV_LOST","WORK",0,0,"",0,"","","","","","",""
"RELABEL","WORK",0,1,"RELABEL",0,"P","","","","","",""
"RELPKG","WORK",0,1,"RELPKG",0,"O","","","","","",""
"REPKG-GARMENT","WORK",0,1,"REPKG-GARMENT",0,"O","REPKG-GARMENT","","","","",""
"RET_ARR_LPN_DEL","ORD",0,0,"",0,"","","","","","",""
"RETORD_CHANGE","ORD",0,0,"",0,"","","","","","",""
