var_nam,appl_id,frm_id,addon_id,cust_lvl,lkp_id,ena_flg,cod_col,desc_col,add_null_flg,dis_sgl_flg,edt_flg,srt_col,grd_lkp_cols,grp_nam
"equip_res_typ","LES","LES","LES",0,"l_equip_res_typ",1,"codval","short_dsc",1,0,0,"","","dcs_data"
"equip_typ","LES","LES","LES",0,"l_equip_typ",1,"codval","lngdsc",1,0,0,"","","sal_data"
"esc_shpdte_field","LES","LES","LES",0,"l_esc_shpdte_field",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"esc_type","LES","LES","LES",0,"l_esc_type",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"evt_arg_id","LES","rifdsegmnt","SEAMLES",0,"l_evt_arg_ifd_fld",1,"evt_arg_id","evt_arg_id",0,0,0,"","","int_data"
"evt_fld_typ","LES","LES","LES",0,"l_evt_fld_typ",1,"codval","lngdsc",1,0,0,"","","ems_data"
"evt_grp_id","LES","evtgrpmnt","SEAMLES",0,"l_evt_grp_id",0,"evt_grp_id","evt_grp_id",0,0,0,"","","int_data"
"evt_grp_id","LES","LES","SEAMLES",0,"l_evt_grp_id",1,"evt_grp_id","evt_grp_id",0,0,0,"","","int_data"
"evt_id","LES","asyncevtviewer","SEAMLES",0,"l_evt_id",0,"evt_id","evt_id",0,0,0,"","","int_data"
"evt_id","LES","ctldwnldviewer","SEAMLES",0,"l_evt_id",0,"vp_val","vp_val",1,0,0,"","","int_data"
"evt_id","LES","ctlevtlog","SEAMLES",0,"l_evt_id_evtlog",1,"evt_id","evt_id",0,0,0,"","","int_data"
"evt_id","LES","ctlevtquery","SEAMLES",0,"l_evt_id",0,"evt_id","evt_id",0,0,0,"","","int_data"
"evt_id","LES","evtseqinfo","SEAMLES",0,"l_evt_id",0,"evt_id","evt_id",0,0,0,"","","int_data"
"evt_id","LES","iifdmnt","SEAMLES",0,"l_evt_id",1,"evt_id","evt_id",1,0,0,"","","int_data"
"evt_id","LES","iifdsegmnt","SEAMLES",0,"l_evt_id",0,"evt_id","evt_id",0,0,0,"","","int_data"
"evt_id","LES","LES","SEAMLES",0,"l_evt_id",1,"evt_id","evt_id",0,0,0,"","","int_data"
