var_nam,appl_id,frm_id,addon_id,cust_lvl,vis_flg,ena_flg,fld_typ,ctrl_typ,ctxt_flg,dsp_wid,dsp_hgt,ctrl_prop,grp_nam
"appl_id","rdtpolovrdmnt","rdtpolovrdmnt","LES",0,1,0,"","",1,0,0,"","dcs_data"
"apply_flg","LES","dlgIfdTemplate","SEAMLES",0,1,1,"F","",1,0,0,"","int_data"
"appt_dte","LES","LES","LES",0,1,0,"SHORT_DATE","",1,130,0,"","dcs_data"
"appt_dte","LES","LES","WM",0,0,0,"","",0,0,0,"","wm_data"
"appt_dte","ordmnt","ordlinmnt","LES",0,1,1,"D","",1,185,0,"","dcs_data"
"appt_end_dte","LES","LES","LES",0,1,1,"DATERANGE","",1,0,0,"","dcs_data"
"appt_id","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"appt_start_dte","LES","LES","LES",0,1,1,"DATERANGE","",1,0,0,"","dcs_data"
"appt_typ","LES","apptmnt","LES",0,0,1,"C","",1,0,0,"","dcs_data"
"appt_typ","LES","LES","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"arcdte","LES","LES","LES",0,1,1,"D","",1,0,0,"","dcs_data"
"archive_installed","LES","LES","LES",0,1,1,"F","",1,0,0,"","sal_data"
"archive_local","LES","LES","LES",0,1,1,"F","",1,0,0,"","sal_data"
"archive_remote_host","LES","LES","LES",0,1,1,"","",1,250,0,"","dcs_data"
"archive_source_name","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"archive_table_prefix","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"area_chart_draw_style","LES","LES","LES",0,1,1,"C","",0,0,0,"","mcs_data"
"area_chart_mid_point_anchors","LES","LES","LES",0,1,1,"F","",0,0,0,"","mcs_data"
"area_chart__handling","LES","LES","LES",0,1,1,"C","",0,0,0,"","mcs_data"
"areattachstratpol","LES","ModArePolMstWiz","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"arecod","LES","AreHostLocModalWiz","LES",0,1,0,"C","",1,0,0,"","dcs_data"
"arecod","LES","LES","LES",0,1,1,"C","",1,300,0,"","dcs_data"
"arecod","LES","locdsp","LES",0,1,1,"C","",1,300,0,"","dcs_data"
"arecod","LES","rcvtrkopr","LES",0,1,1,"C","",1,200,0,"","dcs_data"
"arecod","LES","shpdckopr","LES",0,1,1,"C","",1,250,0,"","dcs_data"
"arecod","pckpolmnt","pckarepreflst","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"arecod_flg","whmnt","whcopy","LES",0,1,1,"F","",1,0,0,"","mcs_data"
"areconsovppol","LES","ModArePolMstWiz","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"aredsc","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"arehosttranpol","LES","ModArePolMstWiz","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"aremovepathpol","LES","ModArePolMstWiz","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"aremoverestpol","LES","ModArePolMstWiz","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"aremovetranidpol","LES","ModArePolMstWiz","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"arenextmovepol","LES","ModArePolMstWiz","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"arereleaserulepol","LES","ModArePolMstWiz","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"arg_typ","LES","AVARULCFGARGMNT","LES",0,1,1,"C","",1,0,0,"","sal_data"
"arg_typ","LES","AVARULCFGMNT","LES",0,1,1,"C","",1,0,0,"","sal_data"
"argreq","mocacmdview","mocacmdview","SEAMLES",0,1,1,"C","",1,0,0,"","int_data"
"argreq","srvcmdmnt","LES","LES",0,1,1,"F","",0,0,0,"","mcs_data"
"argtyp","LES","LES","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"arr_dist","LES","LES","LES",0,1,1,"UOM_DIST","",1,0,0,"","dcs_data"
"arr_dist","LES","LES","WM",0,0,0,"UOM_DIST","",1,0,0,"","wm_data"
"arrdte","LES","LES","LES",0,1,1,"D","",1,0,0,"","dcs_data"
"ase_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","sal_prcl_data"
"asg_lmt_flg","LES","LES","LES",0,1,1,"F","",1,0,-1,"","mcs_data"
"asg_role_id","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"asgflg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"asgflg","LES","locmstmnt","LES",0,1,0,"F","",1,0,0,"","dcs_data"
"asgn_typ","LES","LES","LES",0,0,0,"","",1,0,0,"","dcs_data"
"asgn_usr_flg","LES","asgnusrtrlr","LES",1,1,1,"F","",1,0,0,"","dcs_data"
"asn_sys","LES","LES","LES",0,1,1,"","",1,0,0,"","sal_data"
"asnflg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"asset_cat","LES","LES","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"asset_flg","whmnt","whcopy","LES",0,1,1,"F","",1,0,0,"","mcs_data"
"asset_hgt","LES","LES","LES",0,1,1,"UOM_SL","",1,0,0,"","dcs_data"
"asset_id","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"asset_len","LES","LES","LES",0,1,1,"UOM_SL","",1,0,0,"","dcs_data"
"asset_lod","LES","sphandopr","LES",0,1,1,"","",1,0,0,"","dcs_data"
"asset_media_id","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"asset_ser_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
