dyn_cfg_id,appl_id,frm_id,addon_id,cust_lvl,inp_mod,var_nam_lst,les_cmd_id,moddte,mod_usr_id,grp_nam
"ftpcod_cfg_c","ordmnt","ordlinmnt","LES",0,"A","prtnum,prt_client_id","disable_ftpcod_field","","","dcs_data"
"ftpcod_cfg_c","wkomnt","wkodtlmnt","LES",0,"A","prtnum,prt_client_id","disable_ftpcod_field","","","dcs_data"
"iifdsegmnt_ifd_fld_len","iifdsegmnt","iifdsegmnt","SEAMLES",0,"A","ifd_fld_len","clear_ifd_fld_len","","","int_data"
"iifdsegmnt_ifd_fld_max_chars","iifdsegmnt","iifdsegmnt","SEAMLES",0,"A","ifd_fld_max_chars","clear_ifd_fld_max_chars","","","int_data"
"INEWRKDSP-RFT","inewrkdsp","LES","LES",0,"A","devcod,wrkare,oprcod,wrkzon","INEWRKDSPRFT-CMD","","","dcs_data"
"invact_cfg","invactdsp","invactdsp","LES",0,"A","optSummary,optDetail","hide_invact_field","","","dcs_data"
"invalid_flg","LES","CtyPszMnt","LES",0,"A","invalid_flg","toggle_invalid_date","","","sal_data"
"INVALID-CATCH-BUTTON","LES","shpLoadedShipments","LES",0,"A","trlr_id","INVALID-CATCH-BUTTON","","","dcs_data"
"INVSERVMNT-CRIT","LES","invservmnt","LES",0,"C","serv_typ","INVSERVMNTCMD-CRIT","","","dcs_data"
"INVSERVMNT-NEW","LES","invservmnt","LES",0,"N","serv_typ,serv_id","INVSERVMNTCMD-NEW","","","dcs_data"
"invtid_barcode_parsing","dcsrdt","LES","LES",0,"A","invtid","dummy_parse_bar_code","","","dcs_data"
"invtid_barcode_parsing","LES","LES","LES",0,"A","invtid","invtid_barcode_cmd","","","dcs_data"
"locale_id_cfg_n","LES","compcfgmnt","LES",0,"A","locale_typ","configure_locale_id_field","","","sal_data"
"localemnt_mu_cfg","SALLocaleMnt","SALLocaleMnt","LES",0,"A","mu","localemnt_mu_cfg","","","mcs_data"
"locmstmnt_slot_id","LES","locmstmnt","LES",0,"A","arecod","enable_slot_id","","","dcs_data"
"locmstovr_slot_id","LES","locmstovr","LES",0,"A","arecod","enable_slot_id","","","dcs_data"
