gln,wh_id,stoloc,ins_dt,ins_user_id,last_upd_dt,last_upd_user_id
"8713783878774","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878804","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878811","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878828","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878859","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878866","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878873","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878897","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878910","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878927","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878934","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878941","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878958","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879061","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879078","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879085","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879108","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879115","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879122","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879139","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879184","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879221","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879238","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879252","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879269","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879283","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879313","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879320","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879337","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879344","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879351","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879368","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879382","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879399","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879405","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879429","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879436","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879443","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879450","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879467","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879474","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879481","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879498","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879504","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879511","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879535","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879542","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879559","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879566","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879580","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879832","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879849","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783879856","3","A-001-01","20221125135019","939370","20221125135019","939370"
