pcklst_seq_cri_id,pcklst_rule_id,table_nam,field_name,sort_order,seqnum,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
85,37,"locmst","trvseq",0,1,"20230316135204","20230316135204","938673","938673",0
86,37,"locmst","stoloc",0,2,"20230316135204","20230316135204","938673","938673",0
87,38,"locmst","trvseq",0,1,"20230316135252","20230316135252","938673","938673",0
88,38,"locmst","stoloc",0,2,"20230316135252","20230316135252","938673","938673",0
89,39,"locmst","trvseq",0,1,"20230516135807","20230516135807","939370","939370",0
90,39,"locmst","stoloc",0,2,"20230516135807","20230516135807","939370","939370",0
91,40,"locmst","trvseq",0,1,"20230516135839","20230516135839","939370","939370",0
92,40,"locmst","stoloc",0,2,"20230516135839","20230516135839","939370","939370",0
93,41,"locmst","trvseq",0,1,"20230516140003","20230516140003","939370","939370",0
94,41,"locmst","stoloc",0,2,"20230516140003","20230516140003","939370","939370",0
95,42,"locmst","trvseq",0,1,"20230516140112","20230516140112","939370","939370",0
96,42,"locmst","stoloc",0,2,"20230516140112","20230516140112","939370","939370",0
97,43,"locmst","trvseq",0,1,"20230516140141","20230516140141","939370","939370",0
98,43,"locmst","stoloc",0,2,"20230516140141","20230516140141","939370","939370",0
99,44,"locmst","trvseq",0,1,"20230516140217","20230516140217","939370","939370",0
100,44,"locmst","stoloc",0,2,"20230516140217","20230516140217","939370","939370",0
101,45,"pckwrk_view","list_id",0,1,"20230516140301","20230516140301","939370","939370",0
102,45,"locmst","trvseq",0,2,"20230516140302","20230516140302","939370","939370",0
103,45,"locmst","stoloc",0,3,"20230516140302","20230516140302","939370","939370",0
104,46,"pckwrk_view","list_id",0,1,"20230516140335","20230516140335","939370","939370",0
105,46,"locmst","trvseq",0,2,"20230516140335","20230516140335","939370","939370",0
106,46,"locmst","stoloc",0,3,"20230516140335","20230516140335","939370","939370",0
107,47,"pckwrk_view","list_id",0,1,"20230516140611","20230516140611","939370","939370",0
108,47,"locmst","trvseq",0,2,"20230516140611","20230516140611","939370","939370",0
109,47,"locmst","stoloc",0,3,"20230516140611","20230516140611","939370","939370",0
117,3,"ord_line","late_shpdte",0,1,"20230524145914","20230524145914","938673","938673",0
118,29,"ord_line","late_shpdte",0,1,"20230524145914","20230524145914","938673","938673",0
119,7,"ord_line","late_shpdte",0,1,"20230524145914","20230524145914","938673","938673",0
120,10,"ord_line","late_shpdte",0,1,"20230524145914","20230524145914","938673","938673",0
121,14,"ord_line","late_shpdte",0,1,"20230524145914","20230524145914","938673","938673",0
122,31,"ord_line","late_shpdte",0,1,"20230524145914","20230524145914","938673","938673",0
123,16,"ord_line","late_shpdte",0,1,"20230524145914","20230524145914","938673","938673",0
124,18,"ord_line","late_shpdte",0,1,"20230524145914","20230524145914","938673","938673",0
125,13,"ord_line","late_shpdte",0,1,"20230524145914","20230524145914","938673","938673",0
126,30,"ord_line","late_shpdte",0,1,"20230524145914","20230524145914","938673","938673",0
127,15,"ord_line","late_shpdte",0,1,"20230524145914","20230524145914","938673","938673",0
128,17,"ord_line","late_shpdte",0,1,"20230524145914","20230524145914","938673","938673",0
161,3,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
162,29,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
163,7,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
164,10,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
165,14,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
166,31,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
167,16,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
168,18,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
169,13,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
170,30,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
171,15,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
172,17,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
173,25,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
174,32,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
175,26,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
176,27,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673",0
177,25,"ord_line","late_shpdte",0,1,"20230627000000","20230627000000","938673","938673",0
178,32,"ord_line","late_shpdte",0,1,"20230627000000","20230627000000","938673","938673",0
179,26,"ord_line","late_shpdte",0,1,"20230627000000","20230627000000","938673","938673",0
180,27,"ord_line","late_shpdte",0,1,"20230627000000","20230627000000","938673","938673",0
182,50,"locmst","trvseq",0,1,"20230720111213","20230720111213","938673","938673",0
183,50,"locmst","stoloc",0,2,"20230720111213","20230720111213","938673","938673",0
185,51,"locmst","trvseq",0,1,"20230720111404","20230720111404","938673","938673",0
186,51,"locmst","stoloc",0,2,"20230720111404","20230720111404","938673","938673",0
188,52,"locmst","trvseq",0,1,"20230720111404","20230720111404","938673","938673",0
189,52,"locmst","stoloc",0,2,"20230720111404","20230720111404","938673","938673",0
191,53,"locmst","trvseq",0,1,"20230720111404","20230720111404","938673","938673",0
192,53,"locmst","stoloc",0,2,"20230720111404","20230720111404","938673","938673",0
193,54,"locmst","trvseq",0,1,"20230720111744","20230720111744","938673","938673",0
194,54,"locmst","stoloc",0,2,"20230720111744","20230720111744","938673","938673",0
195,55,"locmst","trvseq",0,1,"20230720111744","20230720111744","938673","938673",0
196,55,"locmst","stoloc",0,2,"20230720111744","20230720111744","938673","938673",0
197,56,"locmst","trvseq",0,1,"20230720111744","20230720111744","938673","938673",0
198,56,"locmst","stoloc",0,2,"20230720111744","20230720111744","938673","938673",0
199,57,"locmst","trvseq",0,1,"20230720111744","20230720111744","938673","938673",0
200,57,"locmst","stoloc",0,2,"20230720111744","20230720111744","938673","938673",0
201,58,"locmst","trvseq",0,1,"20230720111748","20230720111748","938673","938673",0
202,58,"locmst","stoloc",0,2,"20230720111748","20230720111748","938673","938673",0
203,59,"locmst","trvseq",0,1,"20230720111748","20230720111748","938673","938673",0
204,59,"locmst","stoloc",0,2,"20230720111748","20230720111748","938673","938673",0
205,60,"locmst","trvseq",0,1,"20230720111748","20230720111748","938673","938673",0
206,60,"locmst","stoloc",0,2,"20230720111748","20230720111748","938673","938673",0
207,61,"locmst","trvseq",0,1,"20230720111748","20230720111748","938673","938673",0
208,61,"locmst","stoloc",0,2,"20230720111748","20230720111748","938673","938673",0
209,62,"locmst","trvseq",0,1,"20230720111752","20230720111752","938673","938673",0
210,62,"locmst","stoloc",0,2,"20230720111752","20230720111752","938673","938673",0
211,63,"locmst","trvseq",0,1,"20230720111752","20230720111752","938673","938673",0
212,63,"locmst","stoloc",0,2,"20230720111752","20230720111752","938673","938673",0
213,64,"locmst","trvseq",0,1,"20230720111752","20230720111752","938673","938673",0
214,64,"locmst","stoloc",0,2,"20230720111752","20230720111752","938673","938673",0
215,65,"locmst","trvseq",0,1,"20230720111752","20230720111752","938673","938673",0
216,65,"locmst","stoloc",0,2,"20230720111752","20230720111752","938673","938673",0
217,66,"locmst","trvseq",0,1,"20230724103047","20230724103047","938673","938673",0
218,66,"locmst","stoloc",0,2,"20230724103047","20230724103047","938673","938673",0
219,67,"locmst","trvseq",0,1,"20230724103053","20230724103053","938673","938673",0
220,67,"locmst","stoloc",0,2,"20230724103053","20230724103053","938673","938673",0
221,68,"locmst","trvseq",0,1,"20230724103057","20230724103057","938673","938673",0
222,68,"locmst","stoloc",0,2,"20230724103057","20230724103057","938673","938673",0
223,69,"locmst","trvseq",0,1,"20230724103100","20230724103100","938673","938673",0
224,69,"locmst","stoloc",0,2,"20230724103100","20230724103100","938673","938673",0
225,70,"locmst","trvseq",0,1,"20231023132309","20231023132309","939370","939370",0
226,70,"locmst","stoloc",0,2,"20231023132309","20231023132309","939370","939370",0
227,71,"locmst","trvseq",0,1,"20231023132400","20231023132400","939370","939370",0
228,71,"locmst","stoloc",0,2,"20231023132400","20231023132400","939370","939370",0
229,72,"locmst","trvseq",0,1,"20231023132439","20231023132439","939370","939370",0
230,72,"locmst","stoloc",0,2,"20231023132439","20231023132439","939370","939370",0
231,73,"locmst","trvseq",0,1,"20231023132504","20231023132504","939370","939370",0
232,73,"locmst","stoloc",0,2,"20231023132504","20231023132504","939370","939370",0
233,74,"locmst","trvseq",0,1,"20231023132525","20231023132525","939370","939370",0
234,74,"locmst","stoloc",0,2,"20231023132525","20231023132525","939370","939370",0
235,75,"locmst","trvseq",0,1,"20231023132551","20231023132551","939370","939370",0
236,75,"locmst","stoloc",0,2,"20231023132551","20231023132551","939370","939370",0
237,76,"ord_line","late_shpdte",0,1,"20231023135105","20231023135105","939370","939370",0
238,76,"locmst","trvseq",0,2,"20231023135105","20231023135105","939370","939370",0
239,76,"locmst","stoloc",0,3,"20231023135105","20231023135105","939370","939370",0
240,76,"ord","adddte",0,4,"20231023135105","20231023135105","939370","939370",0
241,77,"ord_line","late_shpdte",0,1,"20231023135129","20231023135129","939370","939370",0
242,77,"locmst","trvseq",0,2,"20231023135129","20231023135129","939370","939370",0
243,77,"locmst","stoloc",0,3,"20231023135129","20231023135129","939370","939370",0
244,77,"ord","adddte",0,4,"20231023135129","20231023135129","939370","939370",0
245,78,"ord_line","late_shpdte",0,1,"20231023135349","20231023135349","939370","939370",0
246,78,"locmst","trvseq",0,2,"20231023135349","20231023135349","939370","939370",0
247,78,"locmst","stoloc",0,3,"20231023135349","20231023135349","939370","939370",0
248,78,"ord","adddte",0,4,"20231023135349","20231023135349","939370","939370",0
249,79,"locmst","trvseq",0,3,"20231023135413","20231023135413","939370","939370",0
250,79,"ord_line","late_shpdte",0,1,"20231023135413","20231023135413","939370","939370",0
251,79,"locmst","stoloc",0,2,"20231023135413","20231023135413","939370","939370",0
252,79,"ord","adddte",0,4,"20231023135413","20231023135413","939370","939370",0
253,80,"pckwrk_view","list_id",0,1,"20231023135612","20231023135612","939370","939370",0
254,80,"locmst","trvseq",0,2,"20231023135612","20231023135612","939370","939370",0
255,80,"locmst","stoloc",0,3,"20231023135612","20231023135612","939370","939370",0
256,81,"pckwrk_view","list_id",0,1,"20231023135718","20231023135718","939370","939370",0
257,81,"locmst","trvseq",0,2,"20231023135718","20231023135718","939370","939370",0
258,81,"locmst","stoloc",0,3,"20231023135718","20231023135718","939370","939370",0
259,82,"pckwrk_view","list_id",0,1,"20231023135752","20231023135752","939370","939370",0
260,82,"locmst","trvseq",0,2,"20231023135752","20231023135752","939370","939370",0
261,82,"locmst","stoloc",0,3,"20231023135752","20231023135752","939370","939370",0
