colnam,colval,locale_id,cust_lvl,mls_text,short_dsc,grp_nam
"dda_id","CarInsMntCreate","DUTCH_HOLLAND",0,"Verzekering transporteur maken","","dcs_data"
"dda_id","CarInsMntCreate","US_ENGLISH",0,"Create Carrier Insurance","","dcs_data"
"dda_id","CarInsMntRemove","DUTCH_HOLLAND",0,"Verzekering transporteur verwijderen","","dcs_data"
"dda_id","CarInsMntRemove","US_ENGLISH",0,"Delete Carrier Insurance","","dcs_data"
"dda_id","CARSTSDSP","DUTCH_HOLLAND",0,"Weergave status transporteur","","dcs_data"
"dda_id","CARSTSDSP","US_ENGLISH",0,"Carrier Status Display","","dcs_data"
"dda_id","CARTNDRCONS","DUTCH_HOLLAND",0,"Onderhoud beperking aanbieding transporteur","","dcs_data"
"dda_id","CARTNDRCONS","US_ENGLISH",0,"Carrier Tender Constraint Maintenance","","dcs_data"
"dda_id","CarTNDRCONSCHANGE","DUTCH_HOLLAND",0,"Beperking aanbieding transporteur wijzigen","","dcs_data"
"dda_id","CarTNDRCONSCHANGE","US_ENGLISH",0,"Change Carrier Tender Constraint","","dcs_data"
"dda_id","CARTNDRCONSCREATE","DUTCH_HOLLAND",0,"Beperking aanbieding transporteur maken","","dcs_data"
"dda_id","CARTNDRCONSCREATE","US_ENGLISH",0,"Create Carrier Tender Constraint","","dcs_data"
"dda_id","CARTNDRCONSREMOVE","DUTCH_HOLLAND",0,"Beperking aanbieding transporteur verwijderen","","dcs_data"
"dda_id","CARTNDRCONSREMOVE","US_ENGLISH",0,"Remove Carrier Tender Constraint","","dcs_data"
"dda_id","CART-TYPES","DUTCH_HOLLAND",0,"Kartonnageweergave","","dcs_data"
"dda_id","CART-TYPES","US_ENGLISH",0,"Carton Display","","dcs_data"
"dda_id","CHGINVNONSERASSET","DUTCH_HOLLAND",0,"Verwerkingseenheid zonder serienummer voorraad wijzigen","","dcs_data"
"dda_id","CHGINVNONSERASSET","US_ENGLISH",0,"Change Inventory Non Serialized Handling Unit","","dcs_data"
"dda_id","CHGINVNONSERASSET-CHANGE","DUTCH_HOLLAND",0,"Bijwerken","","dcs_data"
"dda_id","CHGINVNONSERASSET-CHANGE","US_ENGLISH",0,"Update","","dcs_data"
"dda_id","CNTDSP","DUTCH_HOLLAND",0,"Weergave telling","","dcs_data"
"dda_id","CNTDSP","US_ENGLISH",0,"Count Display","","dcs_data"
"dda_id","CNTDSP-RESET-CNT","DUTCH_HOLLAND",0,"Telling heropenen","","dcs_data"
"dda_id","CNTDSP-RESET-CNT","US_ENGLISH",0,"Reopen Count","","dcs_data"
"dda_id","CSTMSORDTYPMNT","DUTCH_HOLLAND",0,"Onderhoud ordertype douane","","dcs_data"
"dda_id","CSTMSORDTYPMNT","US_ENGLISH",0,"Customs Order Type Maintenance","","dcs_data"
"dda_id","CSTMSORDTYPMNT-CHANGE","DUTCH_HOLLAND",0,"Onderhoud ordertype douane wijzigen","","dcs_data"
"dda_id","CSTMSORDTYPMNT-CHANGE","US_ENGLISH",0,"Change Customs Order Type Maintenance","","dcs_data"
