uc_delivery_id,wh_id,dst_mov_zone_id,seqnum,stoloc,uc_multi_drop,frstol,ins_dt,last_upd_dt,last_upd_user_id,is_purged
-1,"1",-1,153,"H245-006-01",1,"H246-003-01","20231208154721","20231208154721","939370",0
-1,"1",-1,154,"H245-006-01",1,"H246-003-02","20231208154721","20231208154721","939370",0
-1,"1",-1,155,"H245-006-01",1,"H246-003-03","20231208154721","20231208154721","939370",0
-1,"1",-1,156,"H245-006-01",1,"H246-003-04","20231208154721","20231208154721","939370",0
-1,"1",-1,157,"H245-006-01",1,"H246-003-05","20231208154721","20231208154721","939370",0
-1,"1",-1,158,"H245-006-01",1,"H246-003-06","20231208154721","20231208154721","939370",0
-1,"1",-1,159,"H245-006-01",1,"H246-003-07","20231208154721","20231208154721","939370",0
-1,"1",-1,160,"H245-006-01",1,"H246-003-08","20231208154721","20231208154721","939370",0
-1,"1",-1,161,"H245-006-01",1,"H246-003-09","20231208154721","20231208154721","939370",0
-1,"1",-1,162,"H245-006-01",1,"H246-003-10","20231208154721","20231208154721","939370",0
-1,"1",-1,163,"H244-003-01",1,"H244-003-01","20231208160506","20231208160506","939370",0
1001,"1",10018,1,"H135-001-01",0,"","20230612163137","20230612163137","939370",0
1002,"1",10018,1,"H135-001-02",0,"","20230612163137","20230612163137","939370",0
1003,"1",10018,1,"H135-001-03",0,"","20230612163137","20230612163137","939370",0
1004,"1",10018,1,"H135-001-04",0,"","20230612163137","20230612163137","939370",0
1005,"1",10018,1,"H135-001-05",0,"","20230612163137","20230612163137","939370",0
1006,"1",10018,1,"H135-001-06",0,"","20230612163137","20230612163137","939370",0
1007,"1",10018,1,"H135-001-07",0,"","20230612163137","20230612163137","939370",0
1008,"1",10018,1,"H135-001-08",0,"","20230612163137","20230612163137","939370",0
1009,"1",10018,1,"H135-001-09",0,"","20230612163137","20230612163137","939370",0
1010,"1",10070,1,"H135-001-10",0,"","20230612163137","20230612163137","939370",0
1011,"1",10018,1,"H135-001-11",0,"","20230612163137","20230612163137","939370",0
1012,"1",10018,1,"H135-001-12",0,"","20230612163137","20230612163137","939370",0
1013,"1",10018,1,"H135-001-13",0,"","20230612163137","20230612163137","939370",0
1014,"1",10018,1,"H135-001-14",0,"","20230612163137","20230612163137","939370",0
1015,"1",10018,1,"H135-001-15",0,"","20230612163137","20230612163137","939370",0
1016,"1",10018,1,"H135-001-10",0,"","20230612163137","20230612163137","939370",0
1017,"1",10066,1,"H245-002-001",0,"","20230612163137","20230612163137","939370",0
1018,"1",10066,1,"H245-002-002",0,"","20230612163137","20230612163137","939370",0
1019,"1",10066,1,"H245-002-003",0,"","20230612163137","20230612163137","939370",0
1020,"1",10066,1,"H245-002-004",0,"","20230612163137","20230612163137","939370",0
1021,"1",10066,1,"H245-002-005",0,"","20230612163137","20230612163137","939370",0
