var_nam,appl_id,frm_id,addon_id,srt_seq,cust_lvl,lkp_id,ena_flg,ret_fld,inp_fld,mult_flg,grp_nam
"lodnum","invmovopr","invmovProc","LES",0,0,"l_invtid_for_pck_lod",1,"lodnum","",0,"dcs_data"
"lodnum","LES","bundleinvopr","LES",0,0,"l_dstlod",1,"bundleloc=stoloc,lodnum","",1,"dcs_data"
"login_id","LES","authdsp","LES",0,0,"l_login_id",1,"login_id","",0,"mcs_data"
"lost_loc","LES","LES","LES",0,0,"l_lost_loc",1,"lost_loc=stoloc","",1,"dcs_data"
"lot_fmt_id","ddamgtopr","WMD-LOTFMTMNT","WM",0,0,"l_lot_fmt_id",0,"","",1,"wm_data"
"lot_fmt_id","LES","LES","WM",0,0,"l_lot_fmt_id",1,"","",1,"wm_data"
"lot_fmt_id","LES","supprtopr","LES",0,0,"l_lot_fmt_id",1,"","",0,"dcs_data"
"lotnum","dcsrdt","IDENTIFY_PART","LES",0,0,"r_lotnum_idn_prt",1,"","",1,"dcs_rdt"
"lotnum","dcsrdt","PICKUP_A","LES",0,0,"r_lotnum",1,"","",1,"dcs_rdt"
"lst_usr_id","LES","inewrkdsp","LES",0,0,"l_lst_usr_id",1,"lst_usr_id,devcod","",1,"dcs_data"
"macro_id","LES","macromnt","SEAMLES",0,0,"l_macro_id",1,"","",1,"int_data"
"mandte","dcsrdt","IDENTIFY_PART","LES",0,0,"r_mandte",1,"","",1,"dcs_rdt"
"map","LES","LES","LES",0,0,"l_asset_map",1,"map","wh_id",1,"dcs_data"
"map_fld","LES","LES","LES",0,0,"l_map_fld",1,"map_fld=codval","codval=map_fld",0,"dcs_data"
"mnu_grp","AthMnt","AthFrm","LES",0,0,"l_top_mnu_grp",1,"mnu_grp","",1,"sal_data"
"mnu_grp","DDAMstMnt","DDAMstAddWizAddMenuItem","LES",0,0,"l_mnu_grp",1,"mnu_grp","",1,"mcs_data"
"mnu_grp","WebServiceMnt","WebSrvAddWizAddMenuItem","LES",0,0,"l_mnu_grp",1,"mnu_grp","",1,"sal_data"
"mnu_grp_fw","DDAMstMnt","DDAMstAddWizAddMenuItem","LES",0,0,"l_mnu_grp",1,"mnu_grp_fw=mnu_grp","",1,"mcs_data"
"mnu_grp_fw","WebServiceMnt","WebSrvAddWizAddMenuItem","LES",0,0,"l_mnu_grp",1,"mnu_grp_fw=mnu_grp","",1,"sal_data"
"mnu_grp_web","DDAMstMnt","DDAMstAddWizAddMenuItem","LES",0,0,"l_mnu_grp",1,"mnu_grp_web=mnu_grp","",1,"mcs_data"
"mnu_grp_web","WebServiceMnt","WebSrvAddWizAddMenuItem","LES",0,0,"l_mnu_grp",1,"mnu_grp_web=mnu_grp","",1,"sal_data"
"mocacmd","LES","mocacmdview","SEAMLES",0,0,"l_mocacmd",1,"","",1,"int_data"
