wrk_zone_id,wrkzon,wh_id,bldg_id,wrkare,maxdev,oosflg,trvseq,prithr,maxprithr,pck_exp_are,moddte,mod_usr_id,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
10022,"WZ-3-D4","2","B1","WA-3-002",99,0,10,15,30,"","20220725133508","939370",1,"20220725133508","20220725133508","939370","939370"
10023,"WZ-3-O1","2","B1","WA-3-003",99,0,10,15,30,"","20220725133508","939370",1,"20220725133508","20220725133508","939370","939370"
10024,"WZ-3-X1","2","B1","WA-3-004",99,0,10,15,30,"","20220725133508","939370",1,"20220725133508","20220725133508","939370","939370"
10025,"WZ-3-T0","2","B1","WA-3-005",99,0,10,15,30,"","20220725133508","939370",1,"20220725133508","20220725133508","939370","939370"
10026,"WZ-3-S1","2","B1","WA-3-006",99,0,10,15,30,"","20220725133508","939370",1,"20220725133508","20220725133508","939370","939370"
10027,"WZ-3-R7","2","B1","WA-3-007",99,0,10,15,30,"","20220725133508","939370",1,"20220725133508","20220725133508","939370","939370"
10028,"WZ-3-N0","2","B1","WA-3-008",99,0,10,15,30,"","20220725133508","939370",1,"20220725133508","20220725133508","939370","939370"
10029,"WZ-3-N10","2","B1","WA-3-009",99,0,10,15,30,"","20220725133508","939370",1,"20220725133508","20220725133508","939370","939370"
10030,"WZ-3-N20","2","B1","WA-3-010",99,0,10,15,30,"","20220725133508","939370",1,"20220725133508","20220725133508","939370","939370"
10031,"WZ-3-J3","2","B1","WA-3-011",99,0,10,15,30,"","20220725133508","939370",1,"20220725133508","20220725133508","939370","939370"
10032,"WZ-3-V1","2","B1","WA-3-012",99,0,10,15,30,"","20220725133508","939370",1,"20220725133508","20220725133508","939370","939370"
10033,"WZ-3-L6","2","B1","WA-3-013",99,0,10,15,30,"","20220725133508","939370",1,"20220725133508","20220725133508","939370","939370"
10034,"WZ-3-W6","2","B1","WA-3-014",99,0,10,15,30,"","20220725133508","939370",1,"20220725133508","20220725133508","939370","939370"
10035,"WZ-3-J0","2","B1","WA-3-015",99,0,10,15,30,"","20220725133840","939370",1,"20220725133840","20220725133840","939370","939370"
10036,"WZ-3-S0","2","B1","WA-3-016",99,0,10,15,30,"","20220802141024","939370",1,"20220802141024","20220802141024","939370","939370"
10037,"WZ-3-ZC","2","B1","WA-3-017",99,0,10,15,30,"","20220802170446","939370",1,"20220802170446","20220802170446","939370","939370"
10038,"WZ-2-P017","2","B1","WA-2-022",99,0,10,15,30,"","20230207142419","939370",1,"20230207142419","20230207142419","939370","939370"
10039,"WZ-2-P018","2","B1","WA-2-023",99,0,10,15,30,"","20230207142419","939370",1,"20230207142419","20230207142419","939370","939370"
10040,"WZ-2-P020-01","2","B1","WA-2-021",99,0,10,15,30,"","20230615093730","938673",2,"20230309153217","20230615093730","939370","938673"
10041,"WZ-2-P020-02","2","B1","WA-2-021",99,0,10,15,30,"","20230615093743","938673",2,"20230309153217","20230615093743","939370","938673"
10042,"WZ-2-P020-03","2","B1","WA-2-021",99,0,10,15,30,"","20230615093754","938673",2,"20230309153217","20230615093754","939370","938673"
10043,"WZ-2-P020-04","2","B1","WA-2-021",99,0,10,15,30,"","20230615093805","938673",2,"20230309153217","20230615093805","939370","938673"
10044,"WZ-2-P020-05","2","B1","WA-2-021",99,0,10,15,30,"","20230615093818","938673",2,"20230309153217","20230615093818","939370","938673"
10045,"WZ-2-P020-06","2","B1","WA-2-021",99,0,10,15,30,"","20230615093830","938673",2,"20230309153217","20230615093830","939370","938673"
10046,"WZ-2-P020-07","2","B1","WA-2-021",99,0,10,15,30,"","20230615093841","938673",2,"20230309153217","20230615093841","939370","938673"
10047,"WZ-2-P020-08","2","B1","WA-2-021",99,0,10,15,30,"","20230615093852","938673",2,"20230309153217","20230615093852","939370","938673"
10048,"WZ-2-P020-09","2","B1","WA-2-021",99,0,10,15,30,"","20230615093902","938673",2,"20230309153217","20230615093902","939370","938673"
10049,"WZ-2-P020-10","2","B1","WA-2-021",99,0,10,15,30,"","20230615093914","938673",2,"20230309153217","20230615093914","939370","938673"
10050,"WZ-2-P020-11","2","B1","WA-2-021",99,0,10,15,30,"","20230615093926","938673",2,"20230522163147","20230615093926","939370","938673"
