serv_id,wh_id,exitpnt_typ,exitpnt,src_mov_zone_id,dst_mov_zone_id,moddte,mod_usr_id,is_purged
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10062,"20210712100000","939161",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10063,"20210712100000","939161",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10071,"20220621164906","939370",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10086,"20221227000000","938673",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10088,"20221227000000","938673",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10090,"20221227000000","938673",0
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV",10000,10091,"20221227000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10043,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10044,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10053,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10058,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10059,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10060,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10061,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10062,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10065,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10067,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10069,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10070,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10071,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10083,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10084,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10085,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10086,"20230314000000","938673",0
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10088,"20230314000000","938673",0
